Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
27.27,-3.1,-77.3,13.2
27.42,-0.7,125.7,26.9
27.57,56.1,165.4,27.8
27.72,31.5,-17.2,6.6
27.87,-35.8,-176.5,-7.4
28.02,-24.4,-98.4,-4.3
28.17,8.8,98.7,9.6
28.32,-31.8,173.0,-4.7
28.47,24.2,9.8,9.3
28.62,-43.4,-158.7,-9.6
28.77,-50.9,-117.5,-4.1
28.92,9.4,74.5,10.6
